header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,wifi
never book flights with Etihad again,W Bausler,2023-10-06,Austria,"Our luggage was damaged during the flight from Singapore to Vienna. One suitcase had a rubber band covering the zip torn and the second suitcase had a support foot broken off. At the airport in Vienna, there were no Etihad counters where this could be reported. You can only make an online report. We reported the incident and sent a photo of the damage. Etihad replied that the damage was only minor and that they would not cover the costs (repair or new purchase). This means that we have to pay for the repair ourselves, which is simply an impertinence. Regarding the flight itself, it has to be said that the seating comfort in economy class is miserable. I have never felt so cramped on any other flight.  The airport in Abu Dhabi is the next point of criticism. The flight was operated with a Boeing 787-9 and was handled at a gate where there were seats for a maximum of 100 people. The remaining 200 people had to stand until boarding started. The transfer to the aircraft was done by bus, which led to a lengthy check-in process. We will never book flights with Etihad again.",Boeing 787-9,Business,Economy Class,Singapure to Vienna via Abu Dhabi,September 2023,no,Verified,5,1.0,3.0,3.0,2.0,2,4.0,
Worst experience with Etihad,Karimila Maganti,2023-10-01,United States,"Worst experience with Etihad today. I got multiple emails saying that I upgraded to Business Class. In fact, I was at HYD airport they informed me that my ticket was upgraded to Business Class,  after seconds they waited for 2 hours and they said its canceled again. What a stupid company these guys are running. What the hell they are doing until the last minute. I was prepared from home that I upgraded to Business Class and what a disappointment.  I ended up paying more for my luggage and ended up sitting in Economy class.",,Business,Economy Class,Hyderabad to Chicago via Ab Dhabi,October 2023,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
thought they were pretty good,Michael BONIN,2023-09-29,United Kingdom,"I actually thought they were pretty good. Friendly crew on both flights and they didn't get irritated with me when I got onto the second flight and immediately asked for water before they'd even boarded the plane. Nice staff. Unfortunately one of my bags didn't arrive and I was told it didn't leave London so that's probably the fault of Heathrow baggage handlers. It's supposed to arrive at my hotel today, fingers crossed!",,Solo Leisure,Economy Class,London to Bangkok via Abu Dhabi,September 2023,yes,Not Verified,8,3.0,5.0,4.0,3.0,3,3.0,1.0
Worse than budget airlines,Ahmed Musthak,2023-09-28,United Arab Emirates,"Worst service. Flight time is 2pm midday, but no A/C either in passenger bus or in flight. All passengers are sitting in hot conditions. Worse than budget airlines!",,Family Leisure,Economy Class,Abu Dhabi to Chennai,September 2023,no,Verified,1,1.0,1.0,1.0,1.0,1,,
Etihad Airways customer review,M Cassell,2023-09-27,Australia,"I have now been fighting with Etihad for a refund on my return ticket from Athens to Melbourne on 15/08/22 for more than one year. Despite the ticket being fully refundable and receiving email correspondence from the airline that the refund will be deposited within my account within 7 to 45 days, this has not happened. I have made countless phone calls which last more than one hour due to staff incompetence, placed on hold endlessly and many promises that the refund will be made verbally and in writing via email and on your chat support site, and this still has not occurred. I will never fly with Etihad again. Customer Service is an absolute disgrace and eventually customers like me just give up because it becomes not worth the fight.",,Solo Leisure,Economy Class,Athens to Melbourne via Abu Dhabi,October 2022,yes,Verified,1,,,,2.0,1,,
exceptional experience,Sachin Kumar,2023-09-26,Kuwait,"I recently had the pleasure of flying with Etihad Airways and must say it was an exceptional experience from start to finish. One of the key reason for this was the outstanding service provided. From the moment I boarded the plane, I was greeted with a warm smile and made me feel instantly at ease. Throughout the flight, their professionalism and dedication to passenger comfort were truly remarkable. Their friendly and courteous demeanor created a positive atmosphere on board, making the journey exceptionally enjoyable. I am grateful for their outstanding efforts.",,Solo Leisure,Economy Class,Kuwait to Delhi via Abu Dhabi,September 2023,yes,Verified,10,5.0,5.0,5.0,5.0,5,5.0,
were hoping to get at least service with a smile,Antoni Kirschner,2023-09-25,United Kingdom,"Flight EY16 on 12 Sep. Tickets were not cheap, £1500 Manchester to Doha for 2 people in the heat season. Seats were narrow with no legroom to give a reasonable comfort. We were hoping to get at least a nice service with a smile. Forget that. Flight attendants were murdy, some were not even looking straight at passengers, some during disembarkment looked like they were involved in solving a psychological problem of their own. The only bright star was a Moroccan female flight attendant Khadija, who was smiling on board. (I hope the airline will not punish her for that.) On my flight back to Manchester via Abu Dhabi (from Doha) we missed the first leg of the trip due to my wife’s illness and the Dubai Etihad headquarters offered to reschedule for £824 (an hour long flight!) while at the same the available ticket on skyscanner.net went for £86. Our hotel manager had to shout at them in a rude manner to make them realise they were so wrong and unprofessional in their attitude and eventually offer a free rebooking for a later flight. So, in conclusion, where am I with my dealings with Etihad? I feel badly serviced for a price and successful in escaping a rip-off in an emergency situation.",Boeing 787,Couple Leisure,Economy Class,Manchester to Doha via Abu Dhabi,September 2023,no,Not Verified,2,1.0,1.0,3.0,4.0,2,4.0,
they don’t have any consistency,P Reddy,2023-09-23,United States,"My flight from JFK to Abu Dhabi on, August 4th 2023 was outstanding, flying first time in business class with this airline, was a great experience. But coming back on September 4th from Abu Dhabi to JFK, was a bizarre experience, it felt that 13 hours journey like never ending, as everything with this airline in business class was completely upside down, even to ask a drink was a crime, food was worst and upon checking with the crew, found out it was a new menu. Please do not spend your hard earned money on this Airline, as they don’t have any consistency.",,Business,Business Class,Abu Dhabi to New York JFK,September 2023,no,Verified,3,3.0,1.0,1.0,5.0,1,3.0,
Worst airline I have ever used,Shenaaz Osman,2023-09-20,South Africa,Etihad staff member lost my husbands passport at check in. We handed our passports to the Etihad staff member at the check in desk. She checked in our luggage and gave us boarding passes. When she gave us our passports one passport was missing. We immediately told her this and called the manager and airport police. We told them to check the airport cameras so we could find out where the passport had been misplaced. They refused to help us and did not allow my husband to fly. I had to fly back home alone and he had to stay in transit and go through unbelievable measures to apply for a temporary passport. After this they found his passport but have not offered to pay for damages or even apologise for being so irresponsible and unprofessional with such an important document. Worst airline I have ever used.,,Couple Leisure,Economy Class,Abu Dhabi to Johannesburg,September 2023,no,Verified,1,1.0,2.0,,1.0,1,,
brace yourself for being downgraded,S Carmisch,2023-09-18,Australia,"If you think seat downgrading does not exist? It does exist with Etihad flights. Not only were our seats downgraded from Economy space to Economy, while obviously paying for economy space, we then received the only broken entertainment seats of the plane for a 14h flight. Etihad staff just passed us on from checkin staff to gate staff to transit staff without one person being interested in our matter. Pleasure now dealing with the phone customer service for a refund. If you can avoid flying with Etihad do it, otherwise brace yourself for being downgraded while paying the higher price.",,Couple Leisure,Premium Economy,Munich to Melbourne via Abu Dhabi,September 2023,no,Verified,2,2.0,3.0,2.0,1.0,1,1.0,1.0
The worst service,I Bennett,2023-09-11,Australia,"The worst service and horrific baggage handling practices! This was a round trip. It started well on the way to our holiday with a relatively good service. It all changed on the flight home to Melbourne. Our flight was delayed. We were forced to wait at an enclosed gate location without water nearby, after they forced us to throw out our water over 100 ml. By the time we boarded, we were dehydrated with a headache. The aircraft staff was busy and dismissive. Shortly after locating my seat, I discovered that it was wet smelling like urine. It took my fellow passenger going directly to one of the staff for them to actually address my wet seat and replace it. The troubles didn't stop there, as the crew seemed to neglect air conditioning and we flew for 13 hours in an approximately 30-35 degree Celsius cabin. The food was questionable. The cabin crew was mainly dismissive during the flight and I simply needed to go in person to the galley to get some water. The worst part was receiving my newly purchased suitcase (Samsonite) damaged. I approached the Etihad arrivals desk for help and was assured that they will cover the costs of repair or replacement. Pictures of the damages were taken and a damage report was issued. I went to repair my suitcase, and lodged a claim to get reimbursed. The baggage damage team till this day refuses to take any responsibility for the damages their airline personnel caused to my new suitcase, deeming the damages as ""minor"". Any request to clarify how a $110 repair is considered minor was met with ""the case is closed, we are sorry you are not happy with this outcome"". This is the airline I will definitely avoid at all cost!",,Couple Leisure,Economy Class,Tel Aviv to Melbourne via Abu Dhabi,September 2023,no,Verified,1,2.0,2.0,1.0,1.0,1,,
The airline has no morals,Tareena King,2023-09-08,United Kingdom,"They take your money and do not offer the service you have paid for. We booked extra space seats and neighbour free seats, they were happy to take our money. They gave the neighbour free seat to another person and we have paperwork to prove this, when we got on the plane, the economy space seats were economy. This happened on both legs, the cabin managers, said it happens daily and Etihad do not care. We have tried contacting them and even sent a recorded delivery, which they signed for. It was only when we did a charge back through the bank that they disputed things. How, I have no idea, we have pictures of the seats being incorrect, we have invoices, e:mails, paperwork galore and till they deny doing anything wrong. The airline has no morals, they do not care about reviews, complaints or anything, they do not care how much they ruin your holiday, but trust me I tell everyone who I know wants to travel with them, and working in the travel industry, this is a lot of people never to fly with them.",,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,May 2023,no,Not Verified,1,1.0,2.0,2.0,1.0,1,2.0,2.0
standard of catering has really dropped,Ian Sinclair,2023-09-07,United Kingdom,"Decided to try Etihad again after several years as they were offering a great business class deal to South Africa. A380 service to Abu Dhabi was rather disappointing given all the hype and advertising, seating in the upper deck is claustrophobic and cramped. The on board lounge falls significantly short of the Emirates product, it is dark, gloomy and rather depressing. The standard of the catering has really dropped too, even the champagne is almost undrinkable. Amenity kit is a waste of time too, the fancy leather pouch was the most useful thing about it. On board service was indifferent and quite rushed. Despite the attractive pricing I doubt that Etihad will see me again any time soon.",A380 and Boeing 787,Solo Leisure,Business Class,London Heathrow to Johannesburg,August 2023,no,Verified,4,1.0,2.0,1.0,2.0,4,,
return was a nightmare from hell,Dr Raj Ganesan,2023-09-05,United Kingdom,I traveled from Heathrow to Chennai in India. The outbound trip was reasonably comfortable. The only fault I could find was the choice of food ran out by the time the food got to me on the second leg. The return was a nightmare from hell. For some unknown reason the airlines booked me with sister airline Air Arabia. The flight was late by 3 hours. I missed my connecting flight at Abu Dhabi. The put me in a sleeping lounge the size of a prison cell with bunk bed. I had to walk twice to the transit desk who was very rude to ask them to send a email to the sleeping lounge to get accommodation. No washroom was provided and one had to find it in the airport. Food voucher was provided. There was no choice and it was unpalatable I ended up buying my own and most travelling with me did the same.,,Solo Leisure,Economy Class,London to Chennai via Abu Dhabi,September 2023,no,Verified,1,2.0,2.0,1.0,1.0,1,1.0,1.0
"Avoid this airline, if possible",S Schumer,2023-09-02,Austria,"The worst airline on earth. They lost my luggage and were not able to forward it to me within 2 weeks of time. Worst customer service ever. No one cares and no one is trying to help you. Very hard to reach or to get a respond. Now, I finally got my suitcase after my holiday is over and Etihad refuses to pay compensation for the stuff I had to buy on my holiday location. Avoid this airline, if possible.",,Solo Leisure,Economy Class,Vienna to Kuala Lumpur via Abu Dhabi,August 2023,no,Verified,1,2.0,1.0,1.0,1.0,2,1.0,
will avoid Etihad in the future,Laurent Sintobin,2023-08-29,Belgium,I have lost my open tickets for roughly 3000 EUR as I faced issue in the rebooking process. Neither the app or the customer service is at the expected level to assist you properly before and after. I had similar situation with a lowfare company called Cebu Pacific and process was smooth and easy. Customer team responded within 24 hours and resolve my issue Fare from Etihad is 2 to 3 times higher but service is not. Very disappointed and will avoid Etihad in the future.,,Family Leisure,Economy Class,Brussels to Manila via Abu Dhabi,April 2023,no,Not Verified,2,,,,,1,,
Very bad experience,M Sheefar,2023-08-26,United Arab Emirates,Very bad experience. Was under the impression that this was a premium airline. But this was worse than a budget airline. No screens or entertainment systems Horrible horrible food Shortage of food. Most people didn't get what they wanted. No direct exit to the terminal even for their flagship airport in Abu Dhabi. Dont care attitude of staff.,,Family Leisure,Economy Class,Cochin to Abu Dhabi,August 2023,no,Not Verified,2,2.0,3.0,1.0,4.0,1,1.0,
with very good impression,T Vayasan,2023-08-24,Thailand,"We flew back for Paris back to Bangkok after our wonderful trip in Europe, this time with very good impression. The B787 of flight EY32 on August 23, 2023 was quite new, the boarding was quite efficient and fast. The flight attendants (both female and male) greeted us with big smile. We were served by two female flight attendants, Leena and Sayaka who were very friendly, helpful and excellent service mind. Both of them had to deal with a number of babies (who were very naughty and moving around and of course some of them crying almost all the time) and they did perfectly. Leena and Sayaka always asked us about the drinks and also told us to keep seatbelt fasten for safety. The food was quite delicious and serve well. Although flight EY408 from Abu Dhabi to Bangkok the cabin staff were quite good but the attention and service cannot be compared with the previous flight mentioned above.",Boeing 787,Couple Leisure,Economy Class,Paris to Bangkok via Abu Dhabi,August 2023,yes,Verified,9,4.0,5.0,4.0,4.0,4,4.0,
We expected more for a premium airline,T Vayasan,2023-08-24,Thailand,"We took a trip to Europe by flying Etihad Airways which is second time in many years. The EY 409 flight for Bangkok to Abu Dhabi by Boeing 787 was uneventful. The plane is quite new and the flight attendants (female) is OK and quite friendly. We did not have food served due to our rest. The plane arrived on time. However, the next flight EY85 from Abu Dhabi to Rome was different. The flight attendant (male) was quite unresponsive and not quite friendly. He served passengers with no smile just as he was doing his job. The food was OK and the flight was smooth and arrived a little ahead of schedule. We expected more for a premium airline like Etihad Airways but quite disappointed (my friends who travel with us share the same feeling).",Boeing 787 / 777,Couple Leisure,Economy Class,Bangkok to Rome via Abu Dhabi,August 2023,yes,Verified,7,4.0,3.0,3.0,4.0,3,4.0,
Worst experience ever,Fathima Saeeda,2023-08-21,Saudi Arabia,"Worst experience ever. Etihad is worse than Air Arabia Flight Air conditioning was off till we were in air about 1 and half hour. We had to take bus to reach the aircraft, and due to that we were made to board early. It was really suffocating. Seats were highly uncomfortable, no leg space, no proper backrest. Would definitely not suggest or prefer to travel with Etihad again",,Solo Leisure,Economy Class,Dammam to Hyderabad via Abu Dhabi,August 2023,no,Not Verified,4,2.0,3.0,4.0,5.0,4,4.0,
Will never fly Etihad again,M Gartan,2023-08-19,Australia,"Will never fly with Etihad again. It is a budget experience with a price tag. You have to pay for your seats, will get randomly allocated on check in if you don’t. The staff seemed meek and inexperienced on board. There was one toilet out of order which meant two different parts of the plane on the same side had to use one toilet. Lines of 7-10 at one point and the cleanliness was horrific. Abu Dhabi airport is also a terrible stop over. Gates don’t get announced until close to your time and not much sitting room. Will never fly Etihad again.",,Solo Leisure,Economy Class,Sydney to Rome via Abu Dhabi,August 2023,no,Not Verified,1,2.0,1.0,3.0,1.0,1,1.0,1.0
they do not care about customers,Agron Hasani,2023-08-18,Ireland,"We booked a holiday through a tour-operator who chose Etihad. I hadn't flown with this airline before so didn't know what to expect. Our crew (my wife, 2 teenagers and myself) opted to pay some 510 euro so we could sit together. Since the aircraft configuration is 3-3-3, we decided the 3 of my family would sit behind me and since I am 193 cm tall, I chose extra legroom seat. 1 day before departure (19 July 2023), we realised the seating was changed and no prior notice received. I spent 1 hour in the online chat and the agent managed to fix their blunder but only after I paid again (I was told: trust me, I would help you if I could). I purchased it and said to myself I'll sort it later. On our return, the same was noticed when checking in online. Close to 2 hours of our holiday spent chatting to someone who assured me he finally fixed the issue and asked me to save transcript of chat as evidence. Flight from Koh Samui to BKK with Bangkok airlines who couldn't issue boarding passes for the entire trip so in BKK had to go to transfer desk to get these issued and the agent there told us that the issue was not resolved and he 'fixed' it then and there. Flight from Bangkok to Abu Dhabi was OK. In Abu Dhabi when getting ready to board, a rude ground staff agent tore my boarding pass and issued me a new one which wasn't extra leg room which was paid for. When I asked, she simply said: 'all seats on the aircraft are fee-paying'. Absolutely shocking. Back for 2 weeks and emailed them using the appropriate form to try get an apology and a refund (out of principle). This is their response: ""Thank you for your email. We are sorry we were unable to contact you by telephone to discuss your case.  We have reviewed your booking and conclude that your reservation of seats does not qualify for a refund. There may be last-minute operational changes that mean we need to allocate you a different seat. If this happens, we will always try to choose a similar seat for you"". The aircraft was 787 so no real issues with it. Felt old, seats hard and uncomfortable butt hat is subjective. Flight attendants were OK and the plane was clean. Purchased wifi on the flight from Dublin to Abu Dhabi and then to BKK but it was extremely patchy and unreliable. Attitude of support team even the social media team was appalling. I will never ever fly Etihad. Why bother when they do not care about customers. At the end of the day, Qatar and Emirates are better rated and appear to care about the passengers and their experience",Boeing 787-10,Family Leisure,Economy Class,Bangkok to Dublin via Abu Dhabi,August 2023,no,Verified,1,1.0,4.0,3.0,1.0,3,3.0,1.0
food is 2/5 and needs attention,F Hasil,2023-08-18,Saudi Arabia,"Unable to print first leg Boarding Pass i have to go to desk. Boarding in MXP was fast and smooth. Have some dirt in table from previous passenger. Cabin crew were outstanding. Second leg boarding via bus.  I have to mention something related to catering, the food is 2/5 and needs attention.",Boeing 787-10,Family Leisure,Economy Class,Abu Dhabi to Milan,August 2023,yes,Verified,7,3.0,5.0,1.0,4.0,5,3.0,5.0
staff are relentless and extremely rude,A Hasil,2023-08-18,United States,This review is about the ground staff at JFK airport who are relentless and extremely rude. I had a personal injury and arrived 1 hour prior to departure time instead of 3 hours and they wouldn’t even listen to me although I kept saying I’m pregnant and to add to that I had a personal injury when getting into the car en route to the airport. He wouldn’t even hear out and kept saying check in closed. Other airlines wait for the passengers even after boarding is completed. This is ridiculous behavior and it’s sad that they call themselves a family airline when they hire supervisors who are nasty.,,Family Leisure,Economy Class,New York to Bangalore via Abu Dhabi,August 2023,no,Verified,1,,,,1.0,1,,
informed that the upgrade was possible,R Carsin,2023-08-16,United Kingdom,"During my recent journey from London Heathrow to Manila with a layover at Abu Dhabi, I experienced several issues that significantly impacted my travel experience. The primary concern arose at the boarding gate of my connecting flight from AUH to MNL. Upon my initial inquiry at LHR, I was informed that a paid upgrade at the boarding gate is possible. With this understanding, my sister and I, both flying due to a family bereavement, were looking forward to a comfortable experience in business class. However, when I approached the ground staff at the AUH boarding gate, I was informed that the upgrade was possible however, I need to have it processed at the transfer desk, despite my understanding that it could be arranged and paid at the boarding gate. The transfer desk staff at AUH had previously affirmed the possibility of an upgrade at the boarding gate, I noted a discrepancy in the level of service provided by the cabin crew during my flight from LHR to AUH. My journey  could have been notably positive with a minor additional assistance, and I believe such small gestures can greatly impact passenger perception.",,Solo Leisure,Economy Class,London to Manila via Abu Dhabi,August 2023,no,Verified,3,4.0,3.0,3.0,1.0,1,3.0,2.0
Would avoid if possible,Pedro Muñoz Saiz,2023-08-14,Spain,"Would avoid if possible. Although not a horrible aircraft the ground crew and brand made the experience deplorable, the airline assigned seats randomly in the aircraft for our honey moon, one leg of our flight was overbooked, and some passengers had to stay. Airport at Abu Dhabi is not a place for a long connection, bathrooms were not sanitary. When demanding our claim airport staff refused to attend our plea and asked us to go through the website. Overall feels like a company that once wanted to compete with Emirates, but stopped trying and just gets leftover traffic in the middle east.",,Couple Leisure,Economy Class,Phuket to Madrid via Abu Dhabi,August 2023,no,Not Verified,2,2.0,2.0,2.0,1.0,2,2.0,1.0
our expectations for Etihad weren't met,Laetitia Kazama,2023-08-11,Switzerland,"Unfortunately, our expectations for Etihad weren't met. The stewards and stewardesses were kind, this is the good point I can give. The food was okay too, but the seat leg room was inferior to other companies we took in Economy class for Japan (ANA, Swiss, etc.) I have leg problems and it was really painful. The seat material was scratchy. The worst, we had to pay for choosing our seats during online check-in so we could be together (we were separated during the first flight.) We had 4 flights in total and in 2 of them, the entertainment screen was dirty and they didn't have eye-masks and ear plus available for everyone depending where you were sitting. The layover in Abu-Dhabi was awful. I thought it would be pleasant, since this is a wealthy country, but nothing: long bus travel to the terminal, just a cramped small corridor, uncomfortable chair, very expensive options if you need to rest. It just felt messy. I am sorry as I don't like to badmouth companies usually, but I feel like I had to, as both my husband, my mother and I were expecting so much more from Etihad (which is sometimes compared to the WAY better Emirates.) Again, the positive point was the staff on board, and the flights were on time. The entertainment had enough choices, though less than in other airlines I took. I paid for the WiFi during one of the trips, and to be honest it was useless, it didn't work most of the time.",Boeing 787,Family Leisure,Economy Class,Geneva to Tokyo via Abu Dhabi,August 2023,no,Verified,4,1.0,5.0,4.0,3.0,2,3.0,1.0
a horrible experience,Z Bobo,2023-08-06,Germany,"I do not recommend. My first flight from Germany to the UAE was delayed by 6 hours, and because of that I missed the connection flight to Australia. When we landed in the UAE they did not give us the next available flight, but booked me a poor hotel and promised a flight the next day. Then the next day I came to the airport after the bus was delayed by 3 hours, boarded the plane, we went up the runway and they took us back because Sydney Airport had a curfew for planes and we would of not made it on time. I had to sleep a night on the airport floor, and then at 5:00 the next day they finally took off (after some AC failure). Although the crew were very nice it was a horrible experience and I am never flying EtiBAD again",,Family Leisure,Economy Class,,January 2023,no,Not Verified,2,3.0,4.0,3.0,1.0,1,3.0,1.0
decent travel experience mostly,Jince Jose,2023-07-26,United Kingdom,"Punctual and decent travel experience mostly. Booked wheelchair, provided from Cochin to Abu Dhabi, from Abu Dhabi refused but from Heathrow given a wheelchair facility. There was water scarcity from the beginning of Abu Dhabi to Heathrow, even a 60+ old year lady asked multiple times not given.",,Solo Leisure,Economy Class,Cochin to London via Abu Dhabi,July 2023,yes,Verified,7,5.0,1.0,3.0,5.0,5,5.0,
many had broken entertainment systems,H Baker,2023-07-18,Australia,"The flights departed and arrived on time, the connecting flights were good and the staff were helpful and friendly but everything else was pretty bad. We had a very old Boeing 777 plane for a 14 hour flight and many people had broken entertainment systems. The food was barely edible, disgusting in fact. Won’t be paying $3,600 again for such bad service. Prefer Emirates, Singapore Airlines or Qantas.",Boeing 777-300,Solo Leisure,Economy Class,Athens to Sydney via Abu Dhabi,July 2023,no,Verified,4,2.0,4.0,1.0,4.0,2,2.0,5.0
Etihad made this a really bad experience,R Hoffmann,2023-07-16,Germany,"I flew from Munich to Kochi via Abu Dhabi with an infant and my 5 year old child. We had booked the bassinet seats more than a month prior to the travel and they were confirmed. During online check-in we found that for the second leg, the seats were changed. Initially booked seats were 6A and 6B. However, they moved my seat to 6E and my daughter's seat a couple of rows behind and it was not possible to book the seats together online. The flight was the same type. I contacted support and they said it could be a technical fault or something and we can change it at the airport. At Munich airport, they agreed that the change of seats were unacceptable (from the automatic assignment) and that they cannot make a child sit in another row from the parent. However, they said they cannot change the seat from Munich but the boarding staff ""should"" change it at Abu Dhabi airport. At Abu Dhabi, they said the flight is full and we should have got this changed earlier. The cabin crew asked to initially sit in the assigned seat and that they can get us seated together when boarding is complete. I did not want to leave my crying daughter in another row and luckily the person in seat 6F said that he can move to my daughter's seat. The seats 6A-6D were given to a family with older children. Flying with children is not easy and Etihad made this a really bad experience. We booked Etihad owing to the good schedule even though the price was quite high owing to the holiday period. We sent a complaint 3 weeks ago and we have still not received any replies.",,Family Leisure,Economy Class,Munich to Kochi via Abu Dhabi,June 2023,no,Verified,2,4.0,1.0,4.0,1.0,1,2.0,
the flight was pleasant,M Smith,2023-07-15,Kuwait,The flight was awesome and amazing. Crew should improve their behavior little bit. We loved the flight meal was also average. TV was also big enough and the flight was pleasant.,A350-1000,Family Leisure,Economy Class,Mumbai to Kuwait via Abu Dhabi,July 2023,yes,Not Verified,5,4.0,3.0,3.0,4.0,4,3.0,2.0
fed up with Etihad,M Gee,2023-07-15,United Arab Emirates,"Hands down the worst airline service I have ever recieved. I am a Platinum member with Etihad Airways and have been flying with them for years especially to the US. In recent years, the entire aspect of Etihad as become horrible. Customer service is non-existent and when you do get in contact, they are rude and uninterested in your concerns. I have been trying to book a flight using my Air miles (600,000 miles) to several destinations for 8 MONTHS and Etihad claims that they don't have a single available seat on ANY aircraft on ANY date to multiple destinations over the span of 8 months. Customer service keeps arguing that they can't do anything and no proper manager will ever get to the phone to explain this. Furthermore, staff and service in general has become a joke. There is no Customer loyalty, no genuine interest to help customers (especially someone who has been flying with Etihad frequently for 10+ years). I am completely displeased and fed up with Etihad. I will indefinitely be switching to Emirates where customers are appreciated and service is actually something that is cared about.",A320,Couple Leisure,Business Class,Abu Dhabi to Beirut,August 2022,no,Not Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
first leg of journey is missing,Mubin Duste,2023-07-11,United Arab Emirates,"Early June while randomly checking for my tkt on Etihad website noticed that first leg of journey is missing from my itinerary. I was surprised and thought it would be system error. So I checked again after 2 days and the issue was same. I was concerned, so called cleartrip (from where I booked my tkt) to check what was wrong and they said first leg journey was cancelled by Etihad, saying flight was cancelled. Firstly, I was never informed either via sms or email about this cancellation. Had I not checked it out of coincidence, I would never have known about this cancellation until my journey day. Secondly, airline did not bother to offer alternate option to me. The airline website showed same flight (which was apparently cancelled) taking new bookings.  I opted for cancellation of ticket and refund on 5-6-23, however, till today 11-7-23 I am yet to receive any refund. Cleartrip says they are following the airline but still no news at all.",,Solo Leisure,Economy Class,Dubai to Mumbai via Abu Dhabi,June 2023,no,Verified,1,,,,,1,,
representative sarcastic and cannot help,Satish Kesavan,2023-07-08,United States,Cancelled the ticket 45 days ago. I have been talking to customer service since my cancellation date they confirmed it from the very first day. Now when I call they tell me that they had a technical glitch and I have to wait another 45 days for it to be processed. They will not send any confirmation email. The representative was sarcastic and said he cannot help. When I explained to them and asked why the other 10 representatives before them spoke differently and promised it would be refunded. Very shady. Never ever book with Etihad airways. We booked a choice plus flight ticket as our trip plan was volatile. Even after paying extra money for a flexible ticket the worst experience. Please do not book with them if you want to make changes for your ticket. Very shady airline - I cannot stress enough. I have recorded voice calls and saved chat conversations which I can submit to prove my point. You can check the confirmation they sent in the endorsement part of the ticket.,,Family Leisure,Economy Class,Washington to Chennai via Abu Dhabi,July 2023,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
Overall it was a pretty hard trip,N Malichko,2023-07-02,Russian Federation,"I bought tickets with seats for me and my infant child, but at the check-in counter, they said that in their system they only have a seat for me but not for my child, though I separately paid for a child seat! They did not want to solve the issue in any way, and even on aircraft, they did not allow me and my child to seat on a fully free row of unoccupied seats. Overall it was a pretty hard trip due to that.",,Family Leisure,Economy Class,Moscow to Abu Dhabi,June 2023,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
Etihad showed complete disregard,Rahul Kapoor,2023-06-28,United Kingdom,"Etihad managed to cancel my initial flight for unclear reasons. I was offered a refund or an alternate flight through my travel agent. Etihad showed complete disregard to the fact that due to their cancellation, I’ve had to incur changes in changing my hotel bookings and essentially extending my trip. My layover at AUH is now 5 hours 30 mins instead of 1 hour and 50 mins. I am travelling with a small child. All I had requested from Etihad for giving me all this trouble was to give my family access to the lounge at the airport as they have been directly responsible for the increase in our lay over time. I had not even asked for compensation for the charges I’ve had to incur to modify our holiday. Etihad showed complete disregard to this and demonstrated a clear lack of professionalism towards us in this case. Quite shocking, they are not the same airline as they used to be in the past and after the above incident, I will not be to travelling with them again and would not recommend anyone to either.",,Family Leisure,Economy Class,London to Mahe via Abu Dhabi,June 2023,no,Verified,1,,,,,1,,
I have learnt my lesson,R MAROOF,2023-06-20,Spain,"BCN-AUH-LHE. Had a flight on 24th May 10.15am departure. After the boarding at BCN they kept us waiting at the boarding gate until 6pm, before announcing that the flight was cancelled due to a technical fault. During that 10 hours ordeal, no one had any decency to inform the passengers of what was going on, they kept changing the departure time with the increments of 1 hours. 1 snack voucher was provided which had a value of 5€, no lunch or drinks were provided. Finally at 6pm they told everyone to collect our baggage and wait at check-in area to be given hotel spaces. The off-loaded baggage arrived after 2 hours which to me was deliberate as they wanted to minimise the time passengers would spend at the hotel. Finally after another 2 hours wait in the queue, they told everyone to wait for buses to be taken to the hotel. The hotel was 1 and a half hour drive outside of Barcelona where we finally reached at 11.30pm. There was no communication as to when we will be picked up for our next day flight etc. At 4am, we were told bus had arrived for us, so hurried to the airport where they checked everyone in for 10.15am departure. At 11am, they told us that the aircraft that had just arrived from AUH to pick us up, was faulty as well. We were all then loaded onto the busses and taken to another aircraft which was parked at a half hour drive on the other side of the airport and finally that departed with the delay of over 2 hours. Abu Dhabi airport is another disgrace, you could smell the toilets from miles away, crowded space with low ceiling and rude staff. The flight to LHE was on a Airbus A320 with no IFE and in the name of in flight meal, they presented us with a bland sandwich. I asked for a diabetic meal in advance but due to cancelled flight and their crap service, never got it. All in all, I will never fly this joke of an airline again and recommend everyone to avoid them. They are not professional, will not communicate with customers if something went wrong and just treat their customers in a worst possible way. Choose Emirates or Qatar like I always do and couldn't do it this time because of last minute travel requirement. I have learnt my lesson and will never waste a penny on these clowns.",Boeing 787-9,Solo Leisure,Economy Class,Barcelona to Lahore via Abu Dhabi,May 2023,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
